shopping_mall_coordinates,,,
Mall Name,LATITUDE,LONGITUDE,">4.4 reviews, and 10K ratings (on google)"
313@Somerset,1.301014364,103.8383607,Y
Clarke Quay ,1.2906,103.8465,Y
IMM,1.334875261,103.7468948,Y
ION Orchard,1.303992869,103.8319889,Y
Paragon Shopping Centre,1.304,103.8361,Y
Plaza Singapura,1.300820718,103.8450673,Y
Raffles City,1.29397671,103.8533336,Y
Suntec City,1.293501325,103.8573075,Y
Takashimaya Shopping Centre,1.3026,103.8346,Y
VivoCity,1.2647,103.8232,Y
100 AM,1.274588218,103.8434707,N
321 Clementi,1.31200212,103.7649867,N
888 Plaza,1.437118561,103.7953161,N
Admiralty Place,1.440420086,103.8015418,N
Alexandra Central,1.287283209,103.8052834,N
AMK Hub,1.369255114,103.8484641,N
Anchorpoint,1.28893478,103.8056078,N
Aperia,1.310473668,103.8643132,N
Balestier Hill Shopping Centre,1.325595948,103.8425716,N
Beauty World Centre,1.342412642,103.7765394,N
Beauty World Plaza,1.341800186,103.7762594,N
Bedok Mall,1.324750542,103.9291892,N
Boon Lay Shopping Centre,1.346373764,103.7124728,N
Broadway Plaza,1.371937291,103.8459494,N
Buangkok Square,1.384334266,103.8816231,N
Bugis Cube,1.298140834,103.8556353,N
Bugis Junction,1.299112875,103.8554112,N
Bugis+,1.300951715,103.8551726,N
Bukit Panjang Plaza,1.379882914,103.7643778,N
Bukit Timah Plaza,1.338631653,103.7785854,N
Canberra Plaza,1.443495445,103.8303454,N
Capitol Piazza,1.293078848,103.851262,N
Cathay Cineleisure Orchard,1.301463935,103.8364638,N
Causeway Point,1.435900079,103.7857958,N
Century Square,1.35227804,103.9437277,N
Changi City Point,1.334083638,103.962946,N
City Plaza,1.314708663,103.8935086,N
City Square Mall,1.311382719,103.8566269,N
CityLink Mall,1.292603494,103.8543161,N
Compass One,1.392053142,103.8950705,N
Djitsun Mall,1.326119703,103.9295545,N
Djitsun Mall Bedok,1.326119703,103.9295545,N
Downtown East,1.376590365,103.9556894,N
Duo,1.299534349,103.8584017,N
Eastpoint Mall,1.342705924,103.9530246,N
Elias Mall,1.377905331,103.9423358,N
Fairprice Hub,1.353495936,103.9401394,N
Fajar Shopping Centre,1.383574699,103.7708685,N
Far East Plaza,1.307304689,103.8338184,N
Funan,1.291347597,103.8499898,N
Gek Poh Shopping Centre,1.348741647,103.6977396,N
Grantral Mall,1.314270439,103.7651475,N
Great World City,1.293422727,103.8320221,N
Greenridge Shopping Centre,1.385405693,103.7662285,N
Greenwich V,1.387395394,103.869136,N
HDB Hub,1.33201387,103.8498495,N
Heartland Mall,1.359544509,103.8851691,N
Hillion Mall,1.378411651,103.7638295,N
HillV2,1.362674508,103.7641729,N
Hougang 1,1.356642846,103.8898289,N
Hougang Green Shopping Mall,1.379317835,103.8878471,N
Hougang Mall,1.372483087,103.8937881,N
Hougang Rivercourt,1.362205919,103.8947421,N
i12 Katong,1.305223062,103.9050439,N
JCube,1.333323126,103.7401871,N
Jem,1.333059993,103.7435037,N
Jewel Changi Airport,1.360062894,103.9899892,N
Jubilee Square,1.371785586,103.8478376,N
Junction 10,1.38055128,103.760107,N
Junction 8,1.350172432,103.8485537,N
Junction 8,1.350172432,103.8485537,N
Junction Nine,1.43312284,103.841661,N
Jurong Point,1.339452004,103.706685,N
Kallang Wave Mall,1.303075152,103.8731497,N
Katong Shopping Centre,1.303820402,103.90104,N
Katong Square,1.304776839,103.9046177,N
Keat Hong Shopping Centre,1.377366074,103.7443936,N
Knightsbridge,1.302983123,103.8362839,N
Leisure Park Kallang,1.302221774,103.8761527,N
Liat Towers,1.305087227,103.8307226,N
Limbang Shopping Centre,1.392073887,103.7430996,N
Lot One,1.385069923,103.7452389,N
Loyang Point,1.367066342,103.9646356,N
Lucky Plaza,1.30446379,103.8340052,N
Marina Bay Link Mall,1.280031134,103.8542849,N
Marina Bay Sands,1.284662036,103.8610059,N
Marina Square,1.291594805,103.8570487,N
Marsiling Mall,1.433543181,103.7798819,N
Midpoint Orchard,1.301787785,103.8386598,N
Millenia Walk,1.292679269,103.8603029,N
myVillage At Serangoon Garden,1.365114906,103.8651595,N
NEX,1.350769353,103.8722961,N
Ngee Ann City,1.30227273,103.8348995,N
Northpoint City,1.428225609,103.83642,N
Northshore Plaza,1.416761272,103.9020744,N
Oasis Terraces,1.402780157,103.9132151,N
Orchard Central,1.300838908,103.8394347,N
Orchard Gateway,1.30160117,103.8388689,N
Orchard Plaza,1.301257294,103.8411501,N
Our Tampines Hub,1.352180469,103.940598,N
Palais Renaissance,1.306654845,103.829588,N
Parkway Parade,1.301069755,103.9052795,N
Paya Lebar Square,1.31881487,103.8925808,N
People's Park Centre,1.285647814,103.8438616,N
People's Park Complex,1.284044879,103.8425908,N
Pioneer Mall,1.341692392,103.6971748,N
Punggol Plaza,1.394237197,103.9130473,N
Queensway Shopping Centre,1.287617926,103.8033911,N
Rail Mall,1.357730502,103.7681377,N
Rivervale Mall,1.392197778,103.9044716,N
Rivervale Plaza,1.385504208,103.9019884,N
Rochester Mall,1.305407656,103.7884467,N
Roxy Square,1.304325999,103.9040511,N
Scotts Square,1.30579943,103.8330747,N
Sembawang Shopping Centre,1.441853253,103.8248324,N
Sim Lim Square,1.302906588,103.8530319,N
Singapore Shopping Centre,1.286497018,103.8446287,N
Singpost Centre,1.318996669,103.8948949,N
Square 2,1.2782295,103.8508125,N
Sun Plaza,1.448231135,103.8195237,N
Sunshine Place,1.377897277,103.7390155,N
Sunshine Plaza,1.300467354,103.8505561,N
Taman Jurong Shopping Centre,1.334844875,103.720462,N
Tampines 1,1.346335358,103.9339796,N
Tampines Mall,1.352593614,103.944786,N
Tanglin Mall,1.304853421,103.8238835,N
Tanjong Pagar Centre,1.275596198,103.8423932,N
Teck Whye Shopping Centre,1.38004753,103.7524838,N
Tekka Centre,1.306710983,103.8501344,N
The Adelphi,1.291185037,103.8511843,N
The Centrepoint,1.301450455,103.8400341,N
The Clementi Mall,1.314896196,103.7644231,N
The Paragon,1.303872309,103.8358575,N
The Poiz,1.332027297,103.8686595,N
The Seletar Mall,1.391470154,103.8761255,N
The Shoppes at Marina Bay Sands,1.28423496,103.8589823,N
The South Beach,1.294988044,103.8562762,N
The Star Vista,1.306815007,103.7884627,N
Thomson Plaza,1.354362827,103.8303094,N
Thomson V,1.353194953,103.8355647,N
Tiong Bahru Plaza,1.286458895,103.8270153,N
United Square,1.31719451,103.8436114,N
Upper Serangoon Shopping Centre,1.353480823,103.8788281,N
Velocity@Novena Square,1.319789492,103.8440336,N
Vista Point,1.430801139,103.7941048,N
Waterway Point,1.406379336,103.9021722,N
West Coast Plaza,1.303586225,103.7661038,N
West Mall,1.350375416,103.7491239,N
Westgate,1.334157676,103.7427665,N
Wheelock Place,1.304676287,103.830642,N
White Sands,1.372287616,103.9497339,N
Wisma Atria,1.303704774,103.8332058,N
Wisteria Mall,1.417989691,103.8413173,N
Woodlands Civic Centre,1.435150244,103.7868161,N
Woodlands Mart,1.44564787,103.7981623,N
Woodlands North Plaza,1.442753343,103.790548,N
Yew Tee Point,1.397057415,103.7466621,N
Yew Tee Square,1.398369427,103.7471885,N
Zhongshan Mall,1.326945045,103.8465544,N